emp_no,first_name,last_name,title,from_date
87059,Girolamo,Leuchs,Senior Staff,1997-04-12
87060,Willard,Birdsall,Senior Staff,1993-03-30
87064,Ewing,Bednarek,Engineer,1997-05-22
87066,Jaber,Zobel,Senior Staff,1993-12-20
87070,Tsz,Farrow,Senior Engineer,1985-08-31
87078,Boalin,Muntz,Senior Engineer,1993-01-22
87091,Sashi,Hiraishi,Senior Staff,1995-11-12
87094,Stevo,Turnbull,Senior Engineer,1996-02-08
87095,Jixiang,Laurillard,Staff,1998-08-08
87107,Kasturi,Peir,Senior Staff,1997-01-10
87115,Charlene,Zyda,Senior Staff,1995-02-13
87125,Guenter,Landherr,Senior Staff,1997-07-17
87133,Alexius,Schoegge,Senior Staff,1986-05-21
87137,Aluzio,Tsunoo,Senior Staff,1994-07-13
87139,Magy,Koblick,Assistant Engineer,1998-12-01
87144,Kshitij,Naudin,Engineer,1996-09-03
87152,Nakhoon,Byoun,Senior Staff,1993-06-23
87158,Nahid,Neiman,Technique Leader,1986-09-20
87160,Nevio,Gihr,Senior Engineer,1986-05-25
87161,Ennio,Sudkamp,Senior Staff,2001-03-22
87168,Herb,Beerel,Senior Engineer,1988-02-12
87170,Macha,Gide,Senior Engineer,1994-06-04
87175,Arno,Duclos,Engineer,1991-04-07
87186,Shaowei,Luby,Senior Staff,1993-12-16
87196,Caolyn,Ozery,Engineer,1997-05-18
87197,Shahab,Unni,Senior Engineer,1997-03-22
87199,Yefim,Luck,Engineer,1996-02-04
87200,Shridhar,Skafidas,Senior Engineer,1994-04-07
87202,Hatem,Coors,Senior Staff,1990-11-08
87211,Ohad,Masada,Engineer,1995-12-16
87223,Shichao,Baezner,Senior Staff,1992-02-28
87232,Arch,Thebaut,Senior Engineer,1991-01-12
87234,Boriana,Mungall,Senior Staff,1993-09-04
87246,Boaz,Melichar,Senior Staff,2000-01-21
87266,Aral,Stafford,Senior Staff,1993-07-12
87269,IEEE,Etalle,Senior Staff,1999-07-05
87274,Hilari,Gide,Senior Staff,1992-07-27
87278,Masato,Kragelund,Senior Engineer,1995-06-25
87284,Ranga,Fandrianto,Senior Staff,1991-01-15
87293,Kwangho,Champarnaud,Senior Staff,1993-06-19
87302,Martina,Garigliano,Senior Staff,1995-03-19
87306,Mabhin,Speckmann,Staff,1995-11-07
87308,Shaz,Bresenham,Staff,1996-04-05
87317,Khue,Byoun,Engineer,1987-04-30
87319,Zita,Bain,Senior Staff,1993-05-23
87323,Akemi,Nastansky,Senior Engineer,1995-10-17
87336,Arco,Dusink,Senior Staff,1999-02-11
87337,Huai,Barbanera,Senior Staff,1987-04-15
87339,Kamakshi,Aseltine,Technique Leader,1990-02-03
87347,Kazuhiko,Katalagarianos,Staff,1988-05-20
87357,Constantijn,Kambil,Senior Engineer,1994-03-16
87358,Ipke,Sridhar,Senior Engineer,1992-07-26
87359,Sadok,Bael,Senior Staff,1993-04-12
87366,Aria,Rubsam,Senior Staff,1990-10-12
87372,Maren,Stellhorn,Senior Staff,1994-08-13
87374,Sampalli,Maraist,Senior Staff,1987-10-10
87375,Ishfaq,Comyn,Assistant Engineer,1985-04-06
87393,Ashish,Erdi,Assistant Engineer,1990-09-09
87401,Shietung,Zweizig,Senior Engineer,1997-10-19
87415,Radhia,Thibadeau,Engineer,1998-12-27
87422,Mohamadou,Lorcy,Senior Engineer,1988-08-19
87426,Yucai,Hmelo,Senior Staff,1994-09-26
87442,Marjo,Jeong,Engineer,2000-09-20
87446,Theron,Wilharm,Senior Engineer,1988-07-09
87448,Weidon,Serna,Senior Engineer,1997-09-10
87449,Golgen,Validov,Engineer,1995-11-18
87450,Xuedong,Shobatake,Senior Engineer,1996-06-08
87451,Zhonghui,Denos,Senior Engineer,1995-06-18
87454,Terresa,Veeraraghavan,Senior Staff,1992-07-06
87461,Moni,Decaestecker,Senior Engineer,1989-05-31
87476,Amabile,Niizuma,Senior Engineer,1991-01-20
87480,Geoff,Mitzlaff,Senior Staff,1988-02-15
87483,Vesna,Baranowski,Senior Engineer,2001-05-09
87492,Susuma,Kushner,Senior Engineer,1992-12-22
87498,Rafols,Shobatake,Senior Staff,2001-04-13
87504,Fumiya,Takanami,Senior Engineer,2000-11-13
87521,Vincent,Itzigehl,Technique Leader,1987-03-04
87526,Turgut,Lanphier,Senior Staff,1992-03-14
87534,Golgen,Apsitis,Senior Staff,1995-06-13
87560,Mansur,Gniady,Senior Staff,1996-05-03
87568,Erez,Usery,Senior Engineer,1995-08-12
87585,Oscar,Morrin,Senior Engineer,1992-08-31
87603,Mostafa,Hellwagner,Staff,1986-04-26
87627,Alagu,Raoux,Senior Staff,1985-04-27
87637,Qingxiang,Aamodt,Senior Staff,2002-06-18
87638,Fay,Raczkowsky,Senior Staff,1993-03-16
87640,Shigehito,Swift,Senior Engineer,1991-06-13
87663,Lenore,Pews,Senior Engineer,1997-01-06
87671,Oldrich,Kandlur,Senior Staff,1985-02-11
87672,Sadok,Zlotek,Senior Staff,1997-05-23
87679,Guenter,Marciano,Senior Staff,1993-03-11
87681,IEEE,Birge,Senior Engineer,1988-06-18
87688,Branimir,Stemann,Staff,1989-09-10
87693,Mikhail,Osgood,Technique Leader,1990-02-22
87697,Sanjoy,Luit,Senior Staff,1992-08-09
87711,Willard,Dulay,Staff,1988-11-16
87723,Uwe,Kowalchuk,Engineer,1996-08-21
87738,Ipke,Sluis,Senior Staff,1998-10-03
87751,Lakshmi,Frolund,Senior Staff,1990-06-28
87752,Yurii,Hasenauer,Senior Staff,1990-02-14
87757,Syozo,Ghalwash,Engineer,1995-03-28
87765,Theirry,Garnham,Senior Staff,1996-08-08
87769,Subhrajyoti,Tomescu,Senior Engineer,2002-05-19
87793,Fatemeh,Kakkar,Senior Staff,2001-07-21
87796,Boriana,Middleton,Senior Engineer,1986-03-05
87806,Khatoun,Shokrollahi,Senior Staff,1991-06-22
87807,Berni,Diderrich,Senior Engineer,1994-03-05
87824,Serenella,Falster,Senior Engineer,1996-06-17
87829,Genki,Etalle,Senior Engineer,1990-10-05
87840,Sungwon,Wendorf,Senior Engineer,1992-08-02
87851,Aloys,Asser,Senior Staff,1992-05-13
87852,Nikolaos,Pokrovskii,Senior Staff,1993-05-27
87856,Lunjin,Erol,Senior Staff,1991-09-30
87864,Gil,Zuberek,Engineer,1985-12-17
87869,Alassane,Luit,Senior Staff,1986-01-19
87875,Anneli,Reeker,Senior Engineer,1991-07-24
87876,Dante,Perfilyeva,Senior Engineer,1995-08-13
87877,Sampalli,Undy,Staff,1989-07-22
87881,Yechezkel,Masaki,Senior Engineer,1993-11-12
87886,Candido,Karnin,Senior Staff,1991-09-27
87897,Tzu,Suwa,Senior Staff,1992-07-20
87902,Phuoc,Compeau,Senior Engineer,1987-06-04
87933,Uma,Ruther,Technique Leader,1988-02-17
87944,Mahendra,Schmezko,Senior Engineer,1992-06-16
87948,Subhash,Kalafatis,Engineer,1998-07-15
87951,Ottavia,Rohrbach,Senior Engineer,1993-06-27
87958,Leandro,Mattern,Senior Engineer,1988-07-14
87964,Alejandro,Luon,Senior Staff,2001-03-11
87969,Junichi,Borstler,Technique Leader,1986-05-21
87974,Shunichi,Peac,Senior Staff,1994-11-07
87978,Moni,Lorch,Staff,1987-02-08
87982,Lijia,Conia,Senior Engineer,1993-03-24
87991,Fusako,Gubsky,Senior Staff,2001-10-14
87992,Moriyoshi,Iivonen,Senior Staff,1993-07-31
87993,Masasuke,Hiraishi,Engineer,1995-04-24
88005,Mrinalini,Brookman,Engineer,1997-11-15
88010,Prodip,Ventosa,Staff,1995-02-20
88013,Frederique,Vasanthakumar,Staff,1998-11-16
88015,Dmitry,Akiyama,Engineer,1997-05-06
88025,Mahendra,Fordan,Senior Engineer,1993-09-21
88032,Urs,Serra,Senior Staff,1998-06-20
88033,Masato,Callaway,Senior Engineer,1992-02-07
88038,Monique,Jarecki,Senior Engineer,1992-09-09
88060,Emdad,Ferriere,Engineer,1997-07-04
88072,Jeanne,Vecchio,Senior Engineer,1988-02-03
88079,Karlis,Hmelo,Senior Staff,2001-11-13
88080,Mack,Heuser,Senior Staff,1995-09-30
88089,Kwok,Alpin,Senior Engineer,1987-05-02
88101,Zongyan,Strooper,Engineer,2000-01-19
88113,Mokhtar,Akazan,Senior Engineer,1995-12-01
88116,Luerbio,Butterworth,Senior Engineer,1998-06-15
88127,Sushant,Hooghiemstra,Senior Staff,1995-04-25
88136,Shir,Stille,Engineer,1996-08-02
88137,Domenick,Brodie,Senior Engineer,1986-08-12
88145,Sanjit,Ernst,Senior Engineer,1993-10-28
88168,Ravishankar,Feldmann,Technique Leader,1987-01-19
88171,Genevieve,Eterovic,Engineer,1998-08-24
88182,Kristinn,Christianini,Engineer,1998-03-18
88190,Lech,Radivojevic,Senior Staff,2001-04-20
88191,Monique,Sigstam,Engineer,1996-10-14
88192,Bader,Copas,Senior Staff,1990-05-30
88195,Ghassan,Krogh,Senior Engineer,1995-04-08
88213,Zvonko,Varman,Technique Leader,1990-08-18
88219,Palash,Krzyzanowski,Senior Engineer,1986-12-15
88246,Munenori,Slobodova,Senior Staff,1996-06-30
88247,Marjo,Fasbender,Senior Staff,1995-10-09
88255,Tesuro,Barbanera,Senior Staff,1988-09-24
88260,Miomir,Krzyzanowski,Senior Engineer,1993-09-27
88262,Sham,Stassinopoulos,Senior Engineer,1986-05-02
88263,Suebskul,Merro,Staff,1996-05-12
88269,Demin,Kaelbling,Senior Staff,1993-08-09
88287,Parke,Reistad,Senior Engineer,1992-05-31
88291,Piyawadee,Vecchio,Senior Staff,1991-11-30
88298,Shuji,Vidya,Engineer,2001-12-16
88299,Kazunori,Vidal,Senior Staff,1993-03-18
88313,Frazer,Erdmenger,Assistant Engineer,1998-05-08
88314,Tsutomu,Denti,Senior Engineer,1996-07-23
88340,Gad,Fiutem,Senior Staff,1996-08-21
88346,Francesca,Wissmann,Senior Engineer,2001-11-25
88353,Anneke,Ranka,Senior Engineer,1994-12-18
88354,Lijia,Jiafu,Senior Staff,1987-08-30
88358,Trygve,Salinas,Senior Engineer,1999-06-03
88377,Mrinalini,Sifakis,Senior Engineer,1994-01-24
88378,Shaz,Rodier,Senior Engineer,1997-07-04
88381,Jackson,Bondorf,Senior Staff,1996-03-25
88382,Genta,Penz,Engineer,1997-04-19
88383,Khosrow,Hinsberger,Senior Staff,1986-10-16
88385,Tran,Besancenot,Senior Staff,1993-04-30
88386,Jiann,Bondorf,Senior Engineer,1986-01-01
88387,Sanjeeva,Lundstrom,Engineer,1996-05-05
88389,Jiakeng,Waymire,Senior Staff,2001-10-06
88393,Kauko,Farris,Senior Engineer,1992-11-21
88399,Thodoros,Pettit,Staff,1997-08-10
88401,Evgueni,Eiter,Senior Staff,1993-03-26
88403,Nigel,Ramaiah,Staff,1998-11-03
88408,Rasiah,Skrikant,Senior Staff,1989-09-19
88419,Luerbio,Murillo,Technique Leader,1996-01-20
88421,Mariusz,Kusalik,Senior Staff,1993-04-17
88441,Mart,Moehrke,Senior Engineer,1991-12-04
88449,Lihong,Naudin,Senior Engineer,1992-12-14
88489,Monique,Soloway,Senior Engineer,1991-07-05
88491,Mabry,Swiler,Senior Staff,1996-09-20
88495,Wilmer,Molenaar,Senior Staff,1985-02-24
88497,Chinhyun,Slobodova,Engineer,1997-11-21
88503,Anestis,Rosenbaum,Senior Engineer,1988-04-14
88512,Giao,Vigier,Senior Engineer,1994-07-24
88524,Zorica,Einsfeld,Senior Engineer,2001-06-30
88543,Geoff,Brodie,Senior Engineer,1992-05-15
88544,Yannik,Gilg,Senior Staff,1987-04-20
88548,Baruch,Heijenga,Senior Engineer,1993-10-06
88556,Ute,Ravishankar,Engineer,1999-09-11
88563,Mototsugu,Rodite,Staff,2000-01-07
88570,Genta,Rosenbaum,Senior Engineer,1987-11-25
88579,Vasilii,Himler,Senior Engineer,1987-05-07
88584,Sakthirel,Rikino,Senior Engineer,1997-12-22
88597,Zita,Narwekar,Senior Engineer,1990-04-20
88599,Kristin,Schneeberger,Senior Engineer,1994-06-11
88600,Bernd,Ranze,Senior Staff,1994-08-12
88604,Sanjit,Sgarro,Senior Engineer,1996-09-30
88615,Weicheng,Shrader,Senior Staff,1991-07-30
88616,Tadahiro,Esposito,Senior Engineer,1995-07-11
88628,Guoxiang,Polajnar,Assistant Engineer,1994-02-21
88629,Mayuko,Acton,Staff,1998-05-17
88636,Xiping,Jeansoulin,Engineer,1997-12-08
88642,Morris,Feldhoffer,Engineer,1992-08-04
88643,Marla,Fiebach,Engineer,1987-09-01
88646,Joydip,Niizuma,Engineer,1998-08-22
88656,Oddvar,Parveen,Technique Leader,1986-01-30
88661,Moheb,Frijda,Engineer,1996-09-23
88663,Adly,Deville,Senior Engineer,1993-11-22
88679,Genta,Lichtner,Senior Staff,1993-04-15
88681,Genta,Alvarado,Senior Engineer,1999-03-17
88698,Mary,Lundstrom,Senior Staff,1999-12-04
88701,Terresa,Krzyzanowski,Senior Engineer,1988-02-11
88707,Adit,Ermel,Senior Engineer,1992-03-01
88714,Paris,Ranum,Senior Engineer,1994-08-01
88722,Falguni,Lagarias,Engineer,1996-09-27
88731,Willard,Mayerwieser,Engineer,1993-01-01
88741,Ottavia,Rattan,Senior Engineer,2000-09-01
88748,Satoru,Sigstam,Staff,1998-11-14
88754,Garnet,Thorensen,Senior Staff,1995-09-29
88764,Aloys,Turnbull,Senior Staff,1991-11-06
88765,Xuejun,Honglei,Engineer,1997-02-07
88770,Jaroslava,Mukaidono,Senior Staff,1995-11-03
88772,Bangqing,Pesch,Senior Engineer,1993-01-03
88776,Bedir,Kaiser,Senior Staff,2001-07-22
88778,Mohammed,Gruenwald,Senior Engineer,2001-03-11
88788,Aamer,Picel,Senior Staff,1988-10-10
88791,Yunming,Salvesen,Engineer,1996-05-28
88792,Stevo,Reghbati,Senior Engineer,1994-05-31
88796,Mang,Erol,Assistant Engineer,1997-05-03
88803,Bikash,Zambonelli,Senior Engineer,1992-09-01
88806,Laurentiu,Ernst,Senior Staff,1999-07-12
88811,Filipp,Ghazalie,Senior Staff,1998-02-12
88821,Shen,Gihr,Senior Engineer,1995-10-30
88825,Fun,Alvarado,Staff,1998-10-22
88827,Padma,Baez,Senior Staff,1987-07-17
88830,Shih,Auria,Senior Engineer,1995-02-04
88833,Godehard,Walston,Senior Staff,1986-11-05
88835,Gad,Nivat,Engineer,1996-03-10
88849,Janalee,Tiemann,Staff,1987-07-20
88855,Bojan,Zweizig,Staff,1997-11-26
88865,Lalit,Peng,Senior Engineer,1993-02-26
88866,Munehiro,Babb,Senior Staff,1993-10-07
88869,Miomir,Plump,Senior Engineer,1995-03-27
88890,Pranjal,Aloisi,Senior Staff,1995-12-30
88893,Shaleah,Shanbhogue,Senior Engineer,1997-01-22
88905,Yakichi,Muhlberg,Senior Engineer,1995-06-08
88914,Masali,Ozeki,Senior Engineer,2001-11-15
88919,Aleksander,Savasere,Technique Leader,1987-03-21
88924,Qiwen,Alameldin,Senior Engineer,1986-11-14
88936,Hironobu,Belinskaya,Senior Staff,1996-01-29
88937,Angel,Waschkowski,Senior Engineer,1996-02-04
88938,Rosine,Detkin,Staff,1996-10-15
88942,Leif,Senzako,Senior Engineer,1986-10-27
88945,Miomir,Jahnichen,Senior Staff,1996-12-30
88947,Ronghao,Marletta,Senior Staff,1993-11-17
88973,Ingemar,Peng,Engineer,1997-03-01
88975,Miomir,Baak,Senior Staff,1991-10-06
88976,Younwoo,Peron,Senior Staff,1987-12-04
88987,Miomir,Prenel,Engineer,1997-09-20
88989,Jaber,Gulik,Senior Staff,1995-03-09
88997,Leif,Giveon,Senior Engineer,2002-01-27
89001,Zeydy,Sommen,Senior Staff,1988-12-03
89002,Luisa,Pelz,Senior Engineer,1992-11-23
89007,Sanjiv,Schwartzburd,Engineer,1992-12-24
89010,Jingling,Weisert,Engineer,1998-08-11
89014,Piyush,Jiafu,Senior Engineer,1996-05-19
89022,Atilio,Orlowski,Senior Staff,1998-08-28
89026,Rafols,Siprelle,Senior Staff,1998-02-16
89030,Xinglin,Prochazka,Senior Engineer,1985-04-29
89033,Sailaja,Jansen,Senior Engineer,1992-02-03
89038,Troy,Kambil,Senior Engineer,1994-07-19
89039,Marek,Quadeer,Engineer,1998-12-28
89043,Mohammed,Riefers,Senior Engineer,1999-04-29
89047,Rayond,Ishibashi,Engineer,1998-06-06
89051,Demos,Ritzmann,Senior Staff,1987-09-05
89053,Arunachalam,Bolsens,Senior Engineer,1992-02-26
89060,Matt,Chandrasekhar,Senior Engineer,1997-10-11
89063,Gen,Marshall,Senior Engineer,1987-09-08
89074,Dmitry,Chandrasekhar,Staff,1995-12-15
89075,Aamer,Bolsens,Senior Engineer,1988-08-09
89080,Gil,Smeets,Engineer,1998-09-15
89101,Petter,Francisci,Assistant Engineer,1996-07-25
89112,Kwangho,Zeidenstein,Senior Engineer,1993-03-06
89119,Pranjal,Cyne,Senior Engineer,2000-10-12
89123,Leen,Selvestrel,Senior Engineer,1997-12-21
89125,Danel,Sinitsyn,Technique Leader,1998-10-20
89128,Dmitry,Kitsuregawa,Staff,1993-03-31
89133,Fumino,Kermarrec,Technique Leader,1989-07-08
89136,Poornachandra,Swab,Senior Engineer,1991-12-01
89137,Lucien,Melski,Technique Leader,1996-08-23
89143,Dzung,Walston,Staff,1992-08-13
89148,Mads,Heering,Senior Engineer,1985-08-31
89154,Dietrich,Isaak,Staff,1995-10-04
89158,Qingxiang,Marwedel,Senior Engineer,1994-10-09
89162,Yongqiao,Melter,Senior Staff,1996-06-30
89172,Berna,Casley,Senior Staff,1987-02-21
89179,Weijing,Kranzdorf,Senior Staff,1998-06-28
89182,Sakthirel,Minakawa,Engineer,1987-09-08
89184,Chriss,Fargier,Senior Staff,1997-08-31
89186,Gor,Marshall,Senior Engineer,1987-07-07
89194,Arunachalam,Picht,Senior Staff,2001-09-28
89201,Kolar,Limongiello,Engineer,1994-05-08
89222,Chiradeep,Hatcliff,Engineer,1987-02-28
89232,Remzi,Herath,Senior Staff,1992-07-23
89240,Arfst,Ecklund,Engineer,1997-06-08
89265,Munir,Gopalakrishnan,Senior Staff,1993-12-24
89270,Francoise,Chachaty,Engineer,1996-09-28
89275,Menkae,Jonsson,Senior Staff,1998-05-21
89299,Ayonca,Andreotta,Senior Engineer,1993-08-21
89300,Xiaoqiang,Schaar,Senior Engineer,1990-04-26
89305,Nidapan,Bernardinello,Senior Engineer,1995-08-09
89315,Susumu,Montemayor,Senior Staff,1985-07-02
89318,Uli,Plump,Senior Staff,1998-09-12
89331,Ranga,Narahara,Senior Engineer,1999-09-09
89333,Mona,Iisaka,Engineer,1997-08-02
89344,Angel,Peir,Senior Staff,1995-10-19
89353,Mostafa,Akiyama,Engineer,1995-12-16
89354,Aiman,Schicker,Senior Staff,1993-01-03
89362,Jiafu,Flasterstein,Senior Engineer,1996-02-09
89367,Zdislav,Frezza,Senior Engineer,1992-12-10
89374,Ingemar,Itzigehl,Engineer,1994-08-16
89379,Akeel,Bisiani,Staff,1995-11-20
89381,Paraskevi,Anily,Senior Staff,1996-06-15
89388,Divier,Hasenauer,Senior Engineer,1997-03-26
89391,Aram,Steenbeek,Senior Staff,1985-12-10
89392,Leen,Casperson,Senior Engineer,1998-01-31
89399,Erzsebet,Smeets,Senior Engineer,1986-08-11
89404,Arnd,Peng,Senior Staff,1990-03-22
89416,Mariangiola,Nitsch,Senior Staff,1999-07-25
89425,Chandrasekaran,Baba,Senior Staff,1999-06-18
89431,Yunming,Pileggi,Senior Engineer,1997-01-15
89448,Vidya,Akiyama,Senior Staff,1992-07-31
89457,Kousuke,Peir,Engineer,1997-08-10
89472,Suebskul,Gruenwald,Engineer,1995-10-11
89476,Xiaoqiang,Perna,Senior Engineer,1985-05-27
89480,Palash,Angelov,Senior Staff,1993-10-28
89506,Danil,Rijckaert,Engineer,1996-07-10
89507,Diederik,Orlowska,Engineer,1997-08-01
89512,Susanta,Lung,Engineer,1998-05-02
89525,Kristin,Pleszkun,Senior Engineer,1993-08-09
89531,Sachem,Boguraev,Technique Leader,1985-03-30
89532,Bodh,Siochi,Engineer,1989-10-11
89537,Gaurav,Tasistro,Technique Leader,1986-04-27
89553,Gilbert,Pocchiola,Senior Engineer,1993-06-18
89566,Yucai,Picci,Engineer,1988-08-06
89567,Kankanahalli,Masand,Senior Staff,1993-12-04
89573,Ute,Varley,Senior Staff,1994-08-20
89598,Nectarios,Alpin,Senior Engineer,2001-04-09
89608,Susanne,Niizuma,Senior Staff,1999-01-17
89613,Billie,Feldmann,Senior Staff,1995-07-04
89624,Pohua,Cherinka,Technique Leader,1988-03-15
89632,Hausi,Theuretzbacher,Senior Staff,2000-03-04
89640,Sreekrishna,Muhling,Senior Staff,1993-02-06
89641,Geoff,Lundstrom,Staff,1999-08-12
89663,Dietrich,Loncour,Engineer,1988-04-20
89669,Ult,Miake,Technique Leader,1986-06-13
89672,Ebbe,Feldmann,Senior Engineer,2001-12-24
89684,Mabhin,Stemann,Staff,1986-04-03
89690,Sukumar,Back,Staff,1991-08-01
89694,Dulce,Wuwongse,Staff,1995-08-07
89699,Uma,Keustermans,Senior Engineer,1999-04-25
89710,Jingling,Dredge,Engineer,1993-10-25
89714,Shigehito,Colorni,Engineer,1987-05-30
89715,Toshimori,Sanella,Senior Engineer,1998-01-09
89724,Naftali,Kalorkoti,Senior Staff,1991-08-31
89743,Hugo,Ferriere,Technique Leader,1996-07-05
89755,Lalit,Klerer,Staff,1998-02-13
89760,Mandell,Ducloy,Senior Staff,1996-05-10
89767,Minghong,Bonifati,Senior Staff,1993-02-27
89776,Seongbae,Remmers,Senior Staff,1986-10-28
89783,Volkmar,Georg,Senior Staff,1986-10-17
89785,Amabile,Beerel,Senior Staff,1992-12-02
89795,Yinlin,Kirkerud,Senior Engineer,1988-05-15
89801,Zvonko,Giarratana,Senior Staff,2001-06-19
89809,Rasiah,Kavvadias,Senior Engineer,1992-08-28
89812,Boriana,Vingron,Senior Engineer,1995-01-01
89825,Ingmar,Isard,Senior Staff,1994-05-23
89838,Zhonghua,Luby,Senior Engineer,1994-02-22
89843,Boalin,Ghelli,Staff,1996-02-23
89859,Guangming,Lalonde,Engineer,1996-10-30
89872,Visit,Bugrara,Senior Staff,1996-03-03
89882,Abdulla,Murrill,Senior Engineer,1997-07-17
89883,Berry,Paludetto,Senior Staff,2001-12-21
89885,Supot,Zumaque,Senior Engineer,1985-02-22
89887,Zhonghui,Munro,Senior Staff,1993-04-22
89904,Ottavia,Olivero,Senior Staff,1995-03-26
89907,Maja,Aingworth,Senior Engineer,1996-08-24
89912,Dietrich,Ouhyoung,Engineer,1999-05-07
89915,Qunsheng,Lores,Senior Engineer,2001-04-19
89928,Gully,Sambasivam,Senior Engineer,1994-03-09
89932,Kerryn,Sanella,Senior Engineer,1993-03-11
89939,Zhongwei,Larfeldt,Senior Staff,1990-05-03
89949,Jaques,Talmon,Senior Engineer,2000-04-10
89957,Tua,Sadowski,Senior Engineer,1993-08-14
89961,Yuping,Stenning,Senior Staff,1996-11-08
89969,Conrado,Cappelletti,Senior Staff,1992-12-17
89981,Shahaf,Masamoto,Senior Engineer,1995-12-02
90009,Denny,Ozeki,Engineer,2001-10-15
90010,Niclas,Vesna,Technique Leader,1997-04-10
90013,Guenter,Cappelli,Senior Staff,1992-07-15
90020,Oldrich,Holburn,Senior Engineer,1992-05-30
90029,Boaz,Melton,Senior Engineer,1993-11-01
90048,Odinaldo,Duclos,Senior Staff,1991-06-28
90051,Venkatesan,Benzmuller,Staff,1988-11-25
90052,Gill,Cangellaris,Staff,1999-09-11
90055,Barna,Kumaresan,Senior Staff,1986-07-07
90059,Fumiyo,Setia,Senior Engineer,1995-10-21
90061,Supot,Ramaiah,Senior Engineer,2000-05-23
90070,Remmert,Chiola,Senior Staff,1997-12-13
90078,Susuma,Champarnaud,Staff,1987-06-27
90080,Hyuncheol,Taubenfeld,Senior Engineer,1999-09-23
90083,Toney,Radwan,Senior Engineer,1995-09-17
90100,Xinglin,Munoz,Engineer,1998-04-24
90110,Przemyslawa,Orsini,Senior Engineer,1992-08-31
90122,Taisook,Halevi,Senior Staff,1991-12-05
90125,Shugo,Reghbati,Technique Leader,1990-03-20
90129,Conrado,Azevdeo,Engineer,1987-04-20
90138,Shin,Selvestrel,Engineer,1995-04-18
90145,Steen,Walstra,Senior Engineer,1992-11-16
90147,Tomokazu,Plump,Staff,1995-11-07
90150,Takahiro,Knightly,Assistant Engineer,1987-02-08
90152,Chenye,Birrer,Senior Engineer,1993-02-09
90154,Collette,Ruemmler,Senior Staff,1994-10-01
90163,Harjit,Ghandeharizadeh,Senior Engineer,1996-07-05
90179,Sajjad,Pramanik,Engineer,1988-07-29
90189,Tzu,Bernardeschi,Senior Engineer,1994-05-05
90190,Abdelkader,Warwick,Senior Engineer,1998-08-24
90213,Kotesh,Kobara,Senior Engineer,1995-03-25
90215,Poorav,Liesche,Senior Staff,2000-08-20
90233,Martien,Setlzner,Senior Staff,1998-05-26
90236,Susuma,Norsworthy,Senior Engineer,1996-12-26
90250,Richard,Sluis,Senior Staff,1992-03-23
90252,Chinya,Hambrick,Staff,1995-06-20
90256,Toney,Brender,Engineer,1996-11-16
90261,Rimli,Merle,Senior Engineer,2002-04-28
90270,Djenana,Spieker,Senior Engineer,1996-04-02
90272,Dinah,Tramer,Senior Staff,1997-05-25
90277,Conor,Alencar,Senior Engineer,1996-04-11
90279,Arch,Geffroy,Senior Staff,1992-05-03
90284,Oguz,Sullins,Senior Engineer,1995-02-24
90288,Jaideep,Shumilov,Senior Engineer,1990-12-21
90304,Shigenori,Kavvadias,Senior Engineer,1994-07-04
90306,Gully,Cangellaris,Staff,1989-01-04
90309,Zengping,Siegrist,Engineer,1998-12-08
90314,Masaki,Rosen,Senior Staff,1986-07-05
90327,Jacopo,Chiola,Senior Staff,1992-09-08
90329,Palash,Renear,Senior Staff,1996-11-06
90331,Luerbio,Matheson,Staff,1985-05-17
90336,Shridhar,Chaudhury,Senior Staff,1997-04-24
90342,King,Koshiba,Senior Staff,2000-02-15
90345,Willard,Liedekerke,Engineer,1996-12-11
90348,Makato,Merks,Senior Staff,1996-03-15
90353,Mingzeng,Cooley,Senior Engineer,1988-04-06
90357,Honglan,Lunn,Senior Engineer,2001-11-12
90367,Josyula,Riexinger,Senior Engineer,1991-08-03
90386,Marc,Rosis,Engineer,1995-10-01
90390,Marko,Kadhim,Senior Staff,1990-05-28
90403,Yucel,Gilg,Staff,1997-06-24
90405,Theirry,Muchinsky,Senior Staff,1993-01-25
90411,Shahid,Gimbel,Senior Staff,1985-11-08
90413,Qunsheng,Ramamoorthy,Senior Engineer,1997-01-02
90416,Sanjeeva,Hofting,Senior Engineer,1988-10-13
90425,Masasuke,Schrift,Technique Leader,1986-05-16
90428,Niranjan,Braunschweig,Staff,1998-11-19
90436,Zijian,Taubman,Senior Staff,1993-03-25
90442,Suzette,Merkl,Senior Staff,1991-10-06
90449,Anestis,Chinen,Senior Staff,1985-04-06
90453,Beshir,Pashtan,Engineer,1996-07-18
90458,Rimli,Kadhim,Senior Staff,1998-06-15
90463,Takahito,Fabrizio,Staff,1995-12-28
90471,Gao,Pelz,Senior Engineer,1994-12-30
90480,Fai,Mitina,Senior Engineer,1993-03-18
90481,Goh,Kemmerer,Senior Staff,1992-11-05
90493,Ravishankar,Fargier,Senior Staff,1994-09-03
90497,Radoslaw,Dulin,Staff,1991-08-07
90519,Syozo,Rodite,Senior Staff,1996-07-26
90522,IEEE,Beerel,Senior Engineer,1994-12-20
90527,Shuzo,Erman,Engineer,1998-06-12
90535,Keiichiro,Hagimont,Staff,2000-01-13
90536,Leah,Hutton,Senior Engineer,1997-03-05
90559,Amalendu,Schlegelmilch,Senior Staff,1994-10-06
90572,Naraig,Tokunaga,Senior Engineer,1992-06-28
